ID,created,name,group
83,2023-08-21 13:50:00,Bancos de Dados SQL e NoSQL Para Devs,DBA
84,2023-09-30 19:41:00,Introdução Banco de Dados,DBA
85,2023-09-30 20:00:00,SQL SERVER - Dominando Tabelas e Tipos de Dados,DBA
86,2023-10-01 00:47:00,SQL SERVER - Manipulando Dados,DBA
87,2023-10-01 03:03:00,Montando Consultas Relacionais no SQL Server,DBA
88,2024-11-14 16:53:00,Introdução ao MongoDB e Bancos de Dados NoSQL,DBA
89,2024-11-14 16:53:00,Banco de Dados SQL e NoSQL Para Desenvolvedores Back-end,DBA
90,2024-11-18 11:23:00,Introdução a Banco de Dados,DBA
91,2024-11-18 12:10:00,Sistemas de Gerenciamento de Banco de Dados,DBA
92,2024-11-19 08:24:00,Como Escrever Consultas Otimizadas no SQL,DBA
93,2024-11-21 10:17:00,Modelagem de Dados para Banco de Dados,DBA
94,2024-11-21 11:39:00,Arquitetura de Banco de Dados,DBA
95,2024-11-21 11:39:00,Introdução a Banco de Dados Relacionais,DBA
96,2024-11-21 22:01:00,Fundamentos de Modelagem e Projeto de Banco de Dados,DBA
97,2024-11-22 08:04:00,Modelo de Entidade Relacionamento com Banco de Dados,DBA
98,2024-11-23 10:53:00,Modelo Relacionamento de Entidade Aprimorado com Banco de Dados,DBA
99,2024-11-24 22:26:00,Construindo um Esquema Conceitual para Banco De dados,DBA
100,2024-12-03 11:18:00,Modelo Relacional e Mapeamento Relacional com Banco de Dados,DBA
101,2024-12-03 11:18:00,Sistemas Relacionais em Banco de Dados,DBA
102,2025-02-05 17:26:00,Princípios de Desenvolvimento De Aplicações,Fundamentos e Boas Práticas de Desenvolvimento de Software
103,2023-05-29 11:36:00,Introdução ao Desenvolvimento Moderno de Software,Fundamentos e Boas Práticas de Desenvolvimento de Software
104,2023-08-20 14:55:00,Princípios Desenvolvimento de Software,Fundamentos e Boas Práticas de Desenvolvimento de Software
105,2023-08-21 14:21:00,"Desmistificando Microsserviços, BFF e DDD",Fundamentos e Boas Práticas de Desenvolvimento de Software
106,2023-09-13 15:48:00,Fundamentos de Arquitetura de Sistemas,Fundamentos e Boas Práticas de Desenvolvimento de Software
107,2024-04-26 11:07:00,Princípios de Desenvolvimento de Software Colaborativo,Fundamentos e Boas Práticas de Desenvolvimento de Software
108,2025-08-01 18:03:00,Introdução a Clean Code,Fundamentos e Boas Práticas de Desenvolvimento de Software
109,2025-08-01 18:13:00,Boas Práticas de Desenvolvimento de Software,Fundamentos e Boas Práticas de Desenvolvimento de Software
110,2022-04-15 01:12:00,Introdução ao Git e ao GitHub,Git
111,2023-08-08 16:52:00,Versionamento de Código com Git e GitHub,Git
112,2025-05-17 22:43:00,Conceitos Fundamentais de IA,IA
113,2025-05-17 23:17:00,Conceitos de Processamento de Linguagem Natural,IA
114,2025-05-18 00:15:00,Explorando os Recursos de IA Generativa com Copilot e OpenAI,IA
115,2025-05-18 01:25:00,Introdução ao Bootcamp Microsoft 50 Anos: Prompts Inteligentes,IA
116,2025-05-20 17:24:00,Introdução à Engenharia de Prompts,IA
117,2025-05-21 16:26:00,Técnicas de Engenharia de Prompt,IA
118,2025-05-21 16:34:00,Escrevendo Prompts Eficazes,IA
119,2025-05-21 18:13:00,Criando um Podcast com IAs Generativas,IA
120,2025-05-21 18:17:00,Fundamentos da Engenharia de Prompts,IA
121,2022-05-27 03:07:00,Introdução à Programação e Pensamento Computacional,IA
122,2025-05-21 18:17:00,Microsoft 50 Anos - Prompts Inteligentes,IA
123,2023-08-20 23:54:00,Programação Assistida por IA com Amazon CodeWhisperer,IA
124,2023-08-22 22:34:00,Explorando IA Generativa com Amazon CodeWhisperer,IA
125,2024-11-16 15:23:00,Criando Aplicações de IA com Agentes Autônomos,IA
126,2024-11-17 06:05:00,Coding The Future CAIXA - Introdução a IA Generativa com Microsoft Copilot,IA
127,2024-11-17 06:34:00,Introdução à Inteligência Artificial,IA
128,2024-11-17 07:39:00,Aplicações e Impacto da IA no Mundo Atual,IA
129,2024-11-17 08:01:00,Live de Lançamento: Como a CAIXA Está utilizando IA para transformar o Mercado,IA
130,2024-11-17 08:01:00,Fundamentos de Inteligência Artificial (IA),IA
131,2024-11-17 11:21:00,Aplicações Práticas da Inteligência Artificial,IA
132,2024-11-17 12:35:00,Fundamentos da IA Generativa,IA
